order_id,product_id,quantity,order_date,due_date,priority,release_time,penalty_per_hour
ORD_00112,TYRE_0036,14,2026-01-26,2026-02-02,M,2026-01-26,75
ORD_00113,TYRE_0080,91,2026-01-16,2026-01-23,M,2026-01-16,51
ORD_00114,TYRE_0084,93,2026-01-19,2026-01-24,M,2026-01-19,54
ORD_00115,TYRE_0128,11,2026-01-05,2026-01-11,M,2026-01-05,71
ORD_00116,TYRE_0102,82,2026-01-22,2026-02-04,L,2026-01-22,66
ORD_00117,TYRE_0101,8,2026-01-25,2026-02-07,L,2026-01-25,15
ORD_00118,TYRE_0090,34,2026-01-29,2026-02-13,L,2026-01-29,37
ORD_00119,TYRE_0135,15,2026-01-14,2026-01-21,M,2026-01-14,37
ORD_00120,TYRE_0075,15,2026-01-28,2026-02-01,M,2026-01-28,53
ORD_00121,TYRE_0135,99,2026-01-05,2026-01-10,M,2026-01-05,93
ORD_00122,TYRE_0014,44,2026-01-15,2026-01-16,H,2026-01-15,39
ORD_00123,TYRE_0143,16,2026-01-17,2026-01-22,M,2026-01-17,71
ORD_00124,TYRE_0109,18,2026-01-30,2026-02-06,M,2026-01-30,84
ORD_00125,TYRE_0014,54,2026-01-14,2026-01-20,M,2026-01-14,98
ORD_00126,TYRE_0112,97,2026-01-30,2026-02-03,M,2026-01-30,71
ORD_00127,TYRE_0062,92,2026-01-20,2026-01-25,M,2026-01-20,10
ORD_00128,TYRE_0126,68,2026-01-05,2026-01-11,M,2026-01-05,36
ORD_00129,TYRE_0012,43,2026-01-12,2026-01-19,M,2026-01-12,71
ORD_00130,TYRE_0113,97,2026-01-16,2026-01-21,M,2026-01-16,86
ORD_00131,TYRE_0009,18,2026-01-26,2026-02-02,M,2026-01-26,12
ORD_00132,TYRE_0043,84,2026-01-26,2026-02-08,L,2026-01-26,79
ORD_00133,TYRE_0149,60,2026-01-16,2026-01-22,M,2026-01-16,81
ORD_00134,TYRE_0034,66,2026-01-21,2026-01-26,M,2026-01-21,36
ORD_00135,TYRE_0135,99,2026-01-07,2026-01-19,L,2026-01-07,18
ORD_00136,TYRE_0125,46,2026-01-04,2026-01-15,L,2026-01-04,71
ORD_00137,TYRE_0108,19,2026-01-01,2026-01-07,M,2026-01-01,46
ORD_00138,TYRE_0051,92,2026-01-30,2026-02-04,M,2026-01-30,60
ORD_00139,TYRE_0006,95,2026-01-30,2026-02-14,L,2026-01-30,53
ORD_00140,TYRE_0090,57,2026-01-05,2026-01-09,M,2026-01-05,33
ORD_00141,TYRE_0035,37,2026-01-23,2026-01-28,M,2026-01-23,88
ORD_00142,TYRE_0108,62,2026-01-26,2026-01-30,M,2026-01-26,68
ORD_00143,TYRE_0122,74,2026-01-10,2026-01-17,M,2026-01-10,41
ORD_00144,TYRE_0014,18,2026-01-22,2026-01-26,M,2026-01-22,97
ORD_00145,TYRE_0090,10,2026-01-05,2026-01-08,H,2026-01-05,61
ORD_00146,TYRE_0085,47,2026-01-04,2026-01-11,M,2026-01-04,71
ORD_00147,TYRE_0110,38,2026-01-02,2026-01-03,H,2026-01-02,67
ORD_00148,TYRE_0119,62,2026-01-20,2026-01-25,M,2026-01-20,61
ORD_00149,TYRE_0109,49,2026-01-10,2026-01-15,M,2026-01-10,21
ORD_00150,TYRE_0123,15,2026-01-26,2026-01-28,H,2026-01-26,48
ORD_00151,TYRE_0119,48,2026-01-19,2026-01-21,H,2026-01-19,11
ORD_00152,TYRE_0120,65,2026-01-26,2026-02-01,M,2026-01-26,12
ORD_00153,TYRE_0119,13,2026-01-01,2026-01-07,M,2026-01-01,65
ORD_00154,TYRE_0090,48,2026-01-24,2026-01-28,M,2026-01-24,90
ORD_00155,TYRE_0055,71,2026-01-05,2026-01-16,L,2026-01-05,68
ORD_00156,TYRE_0012,64,2026-01-13,2026-01-20,M,2026-01-13,11
ORD_00157,TYRE_0135,86,2026-01-04,2026-01-09,M,2026-01-04,11
ORD_00158,TYRE_0101,30,2026-01-16,2026-01-19,H,2026-01-16,63
ORD_00159,TYRE_0112,31,2026-01-24,2026-01-29,M,2026-01-24,96
ORD_00160,TYRE_0061,78,2026-01-16,2026-01-25,L,2026-01-16,10
ORD_00161,TYRE_0149,46,2026-01-23,2026-01-29,M,2026-01-23,28
ORD_00162,TYRE_0042,72,2026-01-02,2026-01-09,M,2026-01-02,11
ORD_00163,TYRE_0080,80,2026-01-17,2026-01-24,M,2026-01-17,62
ORD_00164,TYRE_0014,91,2026-01-28,2026-02-07,L,2026-01-28,53
ORD_00165,TYRE_0076,91,2026-01-27,2026-02-05,L,2026-01-27,99
ORD_00166,TYRE_0042,28,2026-01-20,2026-01-24,M,2026-01-20,41
ORD_00167,TYRE_0126,81,2026-01-24,2026-01-31,M,2026-01-24,79
ORD_00168,TYRE_0135,86,2026-01-12,2026-01-19,M,2026-01-12,41
ORD_00169,TYRE_0048,76,2026-01-18,2026-01-23,M,2026-01-18,77
ORD_00170,TYRE_0025,62,2026-01-03,2026-01-05,H,2026-01-03,64
ORD_00171,TYRE_0149,67,2026-01-28,2026-02-01,M,2026-01-28,84
ORD_00172,TYRE_0108,57,2026-01-01,2026-01-08,M,2026-01-01,65
ORD_00173,TYRE_0106,67,2026-01-01,2026-01-08,M,2026-01-01,26
ORD_00174,TYRE_0080,42,2026-01-29,2026-01-30,H,2026-01-29,47
ORD_00175,TYRE_0102,63,2026-01-19,2026-01-24,M,2026-01-19,33
ORD_00176,TYRE_0143,78,2026-01-11,2026-01-15,M,2026-01-11,78
ORD_00177,TYRE_0143,74,2026-01-05,2026-01-11,M,2026-01-05,79
ORD_00178,TYRE_0010,74,2026-01-12,2026-01-19,M,2026-01-12,95
ORD_00179,TYRE_0112,36,2026-01-03,2026-01-06,H,2026-01-03,20
ORD_00180,TYRE_0116,16,2026-01-01,2026-01-07,M,2026-01-01,25
ORD_00181,TYRE_0042,31,2026-01-01,2026-01-06,M,2026-01-01,82
ORD_00182,TYRE_0089,26,2026-01-08,2026-01-22,L,2026-01-08,68
ORD_00183,TYRE_0090,12,2026-01-10,2026-01-15,M,2026-01-10,79
ORD_00184,TYRE_0145,46,2026-01-11,2026-01-16,M,2026-01-11,89
ORD_00185,TYRE_0074,70,2026-01-12,2026-01-18,M,2026-01-12,12
ORD_00186,TYRE_0024,12,2026-01-29,2026-01-31,H,2026-01-29,29
ORD_00187,TYRE_0032,36,2026-01-13,2026-01-18,M,2026-01-13,68
ORD_00188,TYRE_0124,67,2026-01-12,2026-01-26,L,2026-01-12,45
ORD_00189,TYRE_0085,53,2026-01-14,2026-01-21,M,2026-01-14,28
ORD_00190,TYRE_0085,56,2026-01-02,2026-01-06,M,2026-01-02,99
ORD_00191,TYRE_0106,63,2026-01-29,2026-02-04,M,2026-01-29,76
ORD_00192,TYRE_0083,98,2026-01-19,2026-01-23,M,2026-01-19,28
ORD_00193,TYRE_0091,32,2026-01-18,2026-02-01,L,2026-01-18,29
ORD_00194,TYRE_0054,41,2026-01-03,2026-01-09,M,2026-01-03,80
ORD_00195,TYRE_0080,48,2026-01-23,2026-01-25,H,2026-01-23,61
ORD_00196,TYRE_0012,63,2026-01-17,2026-01-20,H,2026-01-17,42
ORD_00197,TYRE_0048,63,2026-01-26,2026-02-10,L,2026-01-26,49
ORD_00198,TYRE_0112,88,2026-01-08,2026-01-13,M,2026-01-08,48
ORD_00199,TYRE_0149,16,2026-01-29,2026-02-10,L,2026-01-29,91
ORD_00200,TYRE_0064,88,2026-01-26,2026-01-29,H,2026-01-26,10
ORD_00201,TYRE_0135,59,2026-01-10,2026-01-15,M,2026-01-10,20
ORD_00202,TYRE_0024,14,2026-01-26,2026-01-28,H,2026-01-26,66
ORD_00203,TYRE_0102,6,2026-01-30,2026-02-06,M,2026-01-30,98
ORD_00204,TYRE_0124,93,2026-01-02,2026-01-16,L,2026-01-02,59
ORD_00205,TYRE_0113,98,2026-01-19,2026-01-23,M,2026-01-19,32
ORD_00206,TYRE_0026,22,2026-01-09,2026-01-15,M,2026-01-09,40
ORD_00207,TYRE_0108,87,2026-01-07,2026-01-12,M,2026-01-07,51
ORD_00208,TYRE_0036,6,2026-01-04,2026-01-07,H,2026-01-04,16
ORD_00209,TYRE_0012,85,2026-01-26,2026-01-31,M,2026-01-26,25
ORD_00210,TYRE_0105,32,2026-01-21,2026-01-28,M,2026-01-21,99
ORD_00211,TYRE_0042,80,2026-01-18,2026-01-19,H,2026-01-18,69
ORD_00212,TYRE_0089,22,2026-01-13,2026-01-26,L,2026-01-13,11
ORD_00213,TYRE_0085,81,2026-01-11,2026-01-14,H,2026-01-11,10
ORD_00214,TYRE_0009,89,2026-01-29,2026-02-02,M,2026-01-29,57
ORD_00215,TYRE_0052,100,2026-01-24,2026-01-29,M,2026-01-24,21
ORD_00216,TYRE_0085,68,2026-01-04,2026-01-05,H,2026-01-04,78
ORD_00217,TYRE_0102,72,2026-01-25,2026-01-29,M,2026-01-25,46
ORD_00218,TYRE_0003,21,2026-01-21,2026-02-03,L,2026-01-21,41
ORD_00219,TYRE_0108,74,2026-01-29,2026-02-04,M,2026-01-29,18
ORD_00220,TYRE_0120,7,2026-01-25,2026-02-03,L,2026-01-25,28
ORD_00221,TYRE_0043,12,2026-01-04,2026-01-08,M,2026-01-04,57
ORD_00222,TYRE_0101,59,2026-01-10,2026-01-17,M,2026-01-10,89
ORD_00223,TYRE_0021,40,2026-01-05,2026-01-10,M,2026-01-05,12
ORD_00224,TYRE_0113,24,2026-01-09,2026-01-14,M,2026-01-09,29
ORD_00225,TYRE_0135,44,2026-01-24,2026-01-28,M,2026-01-24,33
ORD_00226,TYRE_0061,60,2026-01-03,2026-01-04,H,2026-01-03,63
ORD_00227,TYRE_0009,90,2026-01-17,2026-01-23,M,2026-01-17,42
ORD_00228,TYRE_0044,22,2026-01-03,2026-01-06,H,2026-01-03,33
ORD_00229,TYRE_0041,71,2026-01-16,2026-01-22,M,2026-01-16,84
ORD_00230,TYRE_0108,52,2026-01-04,2026-01-09,M,2026-01-04,81
ORD_00231,TYRE_0143,8,2026-01-18,2026-01-27,L,2026-01-18,45
ORD_00232,TYRE_0112,38,2026-01-17,2026-01-21,M,2026-01-17,47
ORD_00233,TYRE_0147,63,2026-01-07,2026-01-14,M,2026-01-07,93
ORD_00234,TYRE_0116,52,2026-01-24,2026-01-29,M,2026-01-24,98
ORD_00235,TYRE_0143,91,2026-01-23,2026-01-26,H,2026-01-23,34
ORD_00236,TYRE_0058,10,2026-01-30,2026-02-03,M,2026-01-30,27
ORD_00237,TYRE_0003,51,2026-01-05,2026-01-12,M,2026-01-05,91
ORD_00238,TYRE_0126,75,2026-01-12,2026-01-13,H,2026-01-12,75
ORD_00239,TYRE_0107,58,2026-01-17,2026-01-22,M,2026-01-17,63
ORD_00240,TYRE_0081,78,2026-01-23,2026-01-27,M,2026-01-23,44
ORD_00241,TYRE_0118,27,2026-01-13,2026-01-17,M,2026-01-13,89
ORD_00242,TYRE_0118,13,2026-01-23,2026-02-06,L,2026-01-23,70
ORD_00243,TYRE_0072,46,2026-01-25,2026-01-31,M,2026-01-25,50
ORD_00244,TYRE_0109,42,2026-01-03,2026-01-04,H,2026-01-03,42
ORD_00245,TYRE_0025,64,2026-01-09,2026-01-14,M,2026-01-09,77
ORD_00246,TYRE_0086,98,2026-01-30,2026-02-10,L,2026-01-30,42
ORD_00247,TYRE_0062,8,2026-01-17,2026-01-19,H,2026-01-17,23
ORD_00248,TYRE_0014,47,2026-01-17,2026-01-21,M,2026-01-17,30
ORD_00249,TYRE_0055,18,2026-01-30,2026-02-05,M,2026-01-30,57
ORD_00250,TYRE_0102,23,2026-01-20,2026-01-24,M,2026-01-20,29
ORD_00251,TYRE_0023,71,2026-01-16,2026-01-17,H,2026-01-16,17
ORD_00252,TYRE_0138,79,2026-01-25,2026-01-29,M,2026-01-25,16
ORD_00253,TYRE_0126,14,2026-01-22,2026-01-29,M,2026-01-22,76
ORD_00254,TYRE_0116,35,2026-01-13,2026-01-18,M,2026-01-13,26
ORD_00255,TYRE_0149,94,2026-01-27,2026-02-03,M,2026-01-27,42
ORD_00256,TYRE_0083,34,2026-01-19,2026-01-25,M,2026-01-19,57
ORD_00257,TYRE_0120,18,2026-01-17,2026-01-20,H,2026-01-17,85
ORD_00258,TYRE_0012,57,2026-01-04,2026-01-10,M,2026-01-04,68
ORD_00259,TYRE_0014,62,2026-01-12,2026-01-23,L,2026-01-12,95
ORD_00260,TYRE_0106,25,2026-01-29,2026-02-07,L,2026-01-29,31
ORD_00261,TYRE_0077,32,2026-01-09,2026-01-17,L,2026-01-09,39
ORD_00262,TYRE_0083,36,2026-01-19,2026-01-22,H,2026-01-19,47
ORD_00263,TYRE_0101,38,2026-01-12,2026-01-18,M,2026-01-12,60
ORD_00264,TYRE_0044,62,2026-01-09,2026-01-11,H,2026-01-09,63
ORD_00265,TYRE_0145,18,2026-01-07,2026-01-14,M,2026-01-07,17
ORD_00266,TYRE_0035,33,2026-01-28,2026-01-29,H,2026-01-28,36
ORD_00267,TYRE_0108,79,2026-01-14,2026-01-18,M,2026-01-14,36
ORD_00268,TYRE_0048,13,2026-01-20,2026-01-28,L,2026-01-20,30
ORD_00269,TYRE_0085,16,2026-01-19,2026-01-24,M,2026-01-19,39
ORD_00270,TYRE_0084,11,2026-01-26,2026-01-28,H,2026-01-26,37
ORD_00271,TYRE_0080,68,2026-01-15,2026-01-22,M,2026-01-15,73
ORD_00272,TYRE_0055,32,2026-01-16,2026-01-22,M,2026-01-16,78
ORD_00273,TYRE_0070,9,2026-01-21,2026-01-26,M,2026-01-21,70
ORD_00274,TYRE_0009,68,2026-01-05,2026-01-11,M,2026-01-05,57
ORD_00275,TYRE_0145,40,2026-01-03,2026-01-07,M,2026-01-03,28
ORD_00276,TYRE_0112,36,2026-01-12,2026-01-15,H,2026-01-12,13
ORD_00277,TYRE_0090,53,2026-01-25,2026-01-29,M,2026-01-25,44
ORD_00278,TYRE_0091,49,2026-01-20,2026-01-27,M,2026-01-20,73
ORD_00279,TYRE_0128,28,2026-01-27,2026-02-02,M,2026-01-27,58
ORD_00280,TYRE_0009,12,2026-01-21,2026-01-27,M,2026-01-21,26
ORD_00281,TYRE_0120,25,2026-01-04,2026-01-09,M,2026-01-04,53
ORD_00282,TYRE_0055,33,2026-01-21,2026-01-25,M,2026-01-21,39
ORD_00283,TYRE_0090,27,2026-01-23,2026-01-28,M,2026-01-23,55
ORD_00284,TYRE_0124,80,2026-01-16,2026-01-29,L,2026-01-16,15
ORD_00285,TYRE_0061,77,2026-01-25,2026-01-30,M,2026-01-25,46
ORD_00286,TYRE_0126,67,2026-01-07,2026-01-12,M,2026-01-07,33
ORD_00287,TYRE_0116,7,2026-01-13,2026-01-18,M,2026-01-13,55
ORD_00288,TYRE_0043,21,2026-01-21,2026-01-26,M,2026-01-21,62
ORD_00289,TYRE_0012,12,2026-01-10,2026-01-23,L,2026-01-10,69
ORD_00290,TYRE_0080,19,2026-01-26,2026-01-31,M,2026-01-26,72
ORD_00291,TYRE_0093,95,2026-01-07,2026-01-20,L,2026-01-07,94
ORD_00292,TYRE_0101,43,2026-01-14,2026-01-20,M,2026-01-14,41
ORD_00293,TYRE_0012,86,2026-01-26,2026-02-02,M,2026-01-26,96
ORD_00294,TYRE_0081,93,2026-01-05,2026-01-08,H,2026-01-05,42
ORD_00295,TYRE_0091,53,2026-01-03,2026-01-08,M,2026-01-03,76
ORD_00296,TYRE_0061,98,2026-01-23,2026-01-28,M,2026-01-23,27
ORD_00297,TYRE_0061,77,2026-01-29,2026-02-12,L,2026-01-29,34
ORD_00298,TYRE_0009,86,2026-01-11,2026-01-16,M,2026-01-11,63
ORD_00299,TYRE_0048,100,2026-01-11,2026-01-17,M,2026-01-11,67
ORD_00300,TYRE_0014,86,2026-01-18,2026-01-28,L,2026-01-18,76
ORD_00301,TYRE_0022,62,2026-01-15,2026-01-28,L,2026-01-15,55
ORD_00302,TYRE_0120,49,2026-01-12,2026-01-16,M,2026-01-12,33
ORD_00303,TYRE_0042,54,2026-01-09,2026-01-13,M,2026-01-09,41
ORD_00304,TYRE_0112,68,2026-01-10,2026-01-24,L,2026-01-10,56
ORD_00305,TYRE_0089,66,2026-01-26,2026-01-30,M,2026-01-26,95
ORD_00306,TYRE_0147,25,2026-01-12,2026-01-17,M,2026-01-12,32
ORD_00307,TYRE_0090,7,2026-01-17,2026-01-29,L,2026-01-17,75
ORD_00308,TYRE_0042,53,2026-01-29,2026-01-30,H,2026-01-29,36
ORD_00309,TYRE_0113,48,2026-01-06,2026-01-10,M,2026-01-06,11
ORD_00310,TYRE_0009,60,2026-01-07,2026-01-15,L,2026-01-07,99
ORD_00311,TYRE_0042,25,2026-01-14,2026-01-21,M,2026-01-14,26
ORD_00312,TYRE_0124,57,2026-01-13,2026-01-18,M,2026-01-13,42
ORD_00313,TYRE_0138,43,2026-01-08,2026-01-14,M,2026-01-08,18
ORD_00314,TYRE_0116,24,2026-01-10,2026-01-17,M,2026-01-10,52
ORD_00315,TYRE_0043,89,2026-01-09,2026-01-15,M,2026-01-09,57
ORD_00316,TYRE_0086,31,2026-01-18,2026-01-19,H,2026-01-18,48
ORD_00317,TYRE_0025,19,2026-01-27,2026-02-11,L,2026-01-27,51
ORD_00318,TYRE_0135,16,2026-01-26,2026-02-01,M,2026-01-26,35
ORD_00319,TYRE_0135,52,2026-01-02,2026-01-04,H,2026-01-02,59
ORD_00320,TYRE_0116,38,2026-01-05,2026-01-12,M,2026-01-05,34
ORD_00321,TYRE_0106,94,2026-01-29,2026-02-03,M,2026-01-29,33
ORD_00322,TYRE_0021,80,2026-01-05,2026-01-12,M,2026-01-05,22
ORD_00323,TYRE_0116,73,2026-01-06,2026-01-20,L,2026-01-06,69
ORD_00324,TYRE_0121,65,2026-01-19,2026-01-24,M,2026-01-19,16
ORD_00325,TYRE_0135,69,2026-01-08,2026-01-16,L,2026-01-08,66
ORD_00326,TYRE_0118,20,2026-01-16,2026-01-26,L,2026-01-16,45
ORD_00327,TYRE_0114,32,2026-01-13,2026-01-14,H,2026-01-13,54
ORD_00328,TYRE_0032,92,2026-01-01,2026-01-02,H,2026-01-01,29
ORD_00329,TYRE_0108,45,2026-01-22,2026-01-28,M,2026-01-22,74
ORD_00330,TYRE_0017,55,2026-01-20,2026-01-23,H,2026-01-20,17
