product_id,operation_seq,department,machine_id,proc_time_min
TYRE_0011,6,BLD,BLD_M5,50
TYRE_0011,7,CUR,CUR_M2,45
TYRE_0011,8,CUR,CUR_M8,44
TYRE_0011,9,FIN,FIN_M2,14
TYRE_0011,10,INS,INS_M3,25
TYRE_0012,1,MIX,MIX_M2,18
TYRE_0012,2,CAL,CAL_M4,45
TYRE_0012,3,EXT,EXT_M2,44
TYRE_0012,4,EXT,EXT_M5,39
TYRE_0012,5,BLD,BLD_M6,42
TYRE_0012,6,CUR,CUR_M4,85
TYRE_0012,7,FIN,FIN_M3,22
TYRE_0012,8,INS,INS_M3,30
TYRE_0013,1,MIX,MIX_M3,24
TYRE_0013,2,CAL,CAL_M4,18
TYRE_0013,3,EXT,EXT_M2,22
TYRE_0013,4,BLD,BLD_M1,30
TYRE_0013,5,CUR,CUR_M1,77
TYRE_0013,6,FIN,FIN_M2,28
TYRE_0013,7,INS,INS_M1,10
TYRE_0014,1,MIX,MIX_M1,30
TYRE_0014,2,CAL,CAL_M1,22
TYRE_0014,3,EXT,EXT_M1,43
TYRE_0014,4,BLD,BLD_M1,47
TYRE_0014,5,CUR,CUR_M6,44
TYRE_0014,6,FIN,FIN_M2,18
TYRE_0014,7,INS,INS_M3,25
TYRE_0015,1,MIX,MIX_M2,27
TYRE_0015,2,CAL,CAL_M2,38
TYRE_0015,3,EXT,EXT_M5,33
TYRE_0015,4,BLD,BLD_M4,27
TYRE_0015,5,CUR,CUR_M8,66
TYRE_0015,6,FIN,FIN_M2,13
TYRE_0015,7,INS,INS_M1,23
TYRE_0016,1,MIX,MIX_M3,23
TYRE_0016,2,CAL,CAL_M4,29
TYRE_0016,3,EXT,EXT_M1,36
TYRE_0016,4,BLD,BLD_M6,40
TYRE_0016,5,CUR,CUR_M2,43
TYRE_0016,6,FIN,FIN_M4,20
TYRE_0016,7,INS,INS_M1,17
TYRE_0017,1,MIX,MIX_M2,16
TYRE_0017,2,CAL,CAL_M4,19
TYRE_0017,3,EXT,EXT_M4,20
TYRE_0017,4,BLD,BLD_M3,34
TYRE_0017,5,CUR,CUR_M4,44
TYRE_0017,6,FIN,FIN_M4,27
TYRE_0017,7,INS,INS_M1,11
TYRE_0018,1,MIX,MIX_M1,12
TYRE_0018,2,CAL,CAL_M2,20
TYRE_0018,3,EXT,EXT_M4,30
TYRE_0018,4,BLD,BLD_M4,26
TYRE_0018,5,CUR,CUR_M7,43
TYRE_0018,6,FIN,FIN_M2,22
TYRE_0018,7,INS,INS_M1,22
TYRE_0019,1,MIX,MIX_M3,24
TYRE_0019,2,CAL,CAL_M3,28
TYRE_0019,3,EXT,EXT_M5,36
TYRE_0019,4,BLD,BLD_M6,35
TYRE_0019,5,CUR,CUR_M3,52
TYRE_0019,6,FIN,FIN_M3,16
TYRE_0019,7,INS,INS_M1,28
TYRE_0020,1,MIX,MIX_M1,20
TYRE_0020,2,CAL,CAL_M1,16
TYRE_0020,3,EXT,EXT_M5,30
TYRE_0020,4,EXT,EXT_M5,44
TYRE_0020,5,BLD,BLD_M5,25
TYRE_0020,6,CUR,CUR_M1,72
TYRE_0020,7,FIN,FIN_M1,15
TYRE_0020,8,INS,INS_M1,29
TYRE_0021,1,MIX,MIX_M1,17
TYRE_0021,2,CAL,CAL_M4,18
TYRE_0021,3,EXT,EXT_M5,22
TYRE_0021,4,BLD,BLD_M5,39
TYRE_0021,5,CUR,CUR_M1,79
TYRE_0021,6,FIN,FIN_M1,23
TYRE_0021,7,INS,INS_M3,28
TYRE_0022,1,MIX,MIX_M3,18
TYRE_0022,2,CAL,CAL_M2,36
TYRE_0022,3,EXT,EXT_M3,22
TYRE_0022,4,BLD,BLD_M3,32
TYRE_0022,5,CUR,CUR_M3,82
TYRE_0022,6,FIN,FIN_M3,24
TYRE_0022,7,INS,INS_M2,12
TYRE_0023,1,MIX,MIX_M1,24
TYRE_0023,2,CAL,CAL_M1,17
TYRE_0023,3,EXT,EXT_M5,21
TYRE_0023,4,BLD,BLD_M5,28
TYRE_0023,5,CUR,CUR_M3,62
TYRE_0023,6,FIN,FIN_M1,17
TYRE_0023,7,INS,INS_M2,19
TYRE_0024,1,MIX,MIX_M2,24
TYRE_0024,2,CAL,CAL_M3,34
TYRE_0024,3,EXT,EXT_M5,15
TYRE_0024,4,BLD,BLD_M6,46
TYRE_0024,5,CUR,CUR_M5,82
TYRE_0024,6,FIN,FIN_M1,14
TYRE_0024,7,INS,INS_M2,13
TYRE_0025,1,MIX,MIX_M1,27
TYRE_0025,2,CAL,CAL_M2,23
TYRE_0025,3,EXT,EXT_M3,34
TYRE_0025,4,EXT,EXT_M2,37
TYRE_0025,5,BLD,BLD_M3,26
TYRE_0025,6,CUR,CUR_M5,72
TYRE_0025,7,FIN,FIN_M4,18
TYRE_0025,8,INS,INS_M1,12
TYRE_0026,1,MIX,MIX_M4,18
TYRE_0026,2,CAL,CAL_M1,15
TYRE_0026,3,EXT,EXT_M3,39
TYRE_0026,4,BLD,BLD_M2,40
TYRE_0026,5,CUR,CUR_M5,50
TYRE_0026,6,FIN,FIN_M4,27
TYRE_0026,7,INS,INS_M3,23
TYRE_0027,1,MIX,MIX_M1,13
TYRE_0027,2,CAL,CAL_M1,45
TYRE_0027,3,EXT,EXT_M2,32
TYRE_0027,4,BLD,BLD_M1,46
TYRE_0027,5,CUR,CUR_M6,77
TYRE_0027,6,FIN,FIN_M2,23
TYRE_0027,7,INS,INS_M1,11
TYRE_0028,1,MIX,MIX_M3,21
TYRE_0028,2,CAL,CAL_M1,43
TYRE_0028,3,EXT,EXT_M3,21
TYRE_0028,4,BLD,BLD_M6,27
TYRE_0028,5,CUR,CUR_M2,62
TYRE_0028,6,FIN,FIN_M4,29
TYRE_0028,7,INS,INS_M3,14
TYRE_0029,1,MIX,MIX_M2,15
TYRE_0029,2,CAL,CAL_M2,43
TYRE_0029,3,EXT,EXT_M4,15
TYRE_0029,4,BLD,BLD_M2,43
TYRE_0029,5,CUR,CUR_M6,90
TYRE_0029,6,FIN,FIN_M4,17
TYRE_0029,7,INS,INS_M2,15
TYRE_0030,1,MIX,MIX_M1,22
TYRE_0030,2,CAL,CAL_M1,42
TYRE_0030,3,EXT,EXT_M4,22
TYRE_0030,4,EXT,EXT_M2,41
TYRE_0030,5,BLD,BLD_M4,31
TYRE_0030,6,CUR,CUR_M5,90
TYRE_0030,7,FIN,FIN_M2,17
TYRE_0030,8,INS,INS_M1,16
TYRE_0031,1,MIX,MIX_M4,20
TYRE_0031,2,CAL,CAL_M3,42
TYRE_0031,3,EXT,EXT_M1,45
TYRE_0031,4,BLD,BLD_M3,31
TYRE_0031,5,CUR,CUR_M7,83
TYRE_0031,6,FIN,FIN_M3,10
TYRE_0031,7,INS,INS_M1,18
TYRE_0032,1,MIX,MIX_M2,28
TYRE_0032,2,CAL,CAL_M3,16
TYRE_0032,3,EXT,EXT_M1,34
TYRE_0032,4,BLD,BLD_M4,31
TYRE_0032,5,CUR,CUR_M6,67
TYRE_0032,6,FIN,FIN_M1,22
TYRE_0032,7,INS,INS_M3,16
TYRE_0033,1,MIX,MIX_M3,11
TYRE_0033,2,CAL,CAL_M4,15
TYRE_0033,3,CAL,CAL_M2,26
TYRE_0033,4,EXT,EXT_M4,17
TYRE_0033,5,EXT,EXT_M3,34
TYRE_0033,6,BLD,BLD_M3,41
TYRE_0033,7,CUR,CUR_M2,86
TYRE_0033,8,CUR,CUR_M5,72
TYRE_0033,9,FIN,FIN_M3,23
TYRE_0033,10,INS,INS_M2,22
TYRE_0034,1,MIX,MIX_M3,27
TYRE_0034,2,CAL,CAL_M2,21
TYRE_0034,3,CAL,CAL_M4,36
TYRE_0034,4,EXT,EXT_M4,36
TYRE_0034,5,EXT,EXT_M2,34
TYRE_0034,6,BLD,BLD_M5,29
TYRE_0034,7,CUR,CUR_M7,75
TYRE_0034,8,CUR,CUR_M1,59
TYRE_0034,9,FIN,FIN_M3,16
TYRE_0034,10,INS,INS_M2,28
TYRE_0035,1,MIX,MIX_M3,24
TYRE_0035,2,CAL,CAL_M4,29
TYRE_0035,3,EXT,EXT_M2,31
TYRE_0035,4,EXT,EXT_M4,40
TYRE_0035,5,BLD,BLD_M6,25
TYRE_0035,6,CUR,CUR_M2,58
TYRE_0035,7,FIN,FIN_M3,12
TYRE_0035,8,INS,INS_M1,19
TYRE_0036,1,MIX,MIX_M2,16
TYRE_0036,2,CAL,CAL_M2,15
TYRE_0036,3,EXT,EXT_M1,22
TYRE_0036,4,BLD,BLD_M4,39
TYRE_0036,5,CUR,CUR_M2,69
TYRE_0036,6,FIN,FIN_M4,30
TYRE_0036,7,INS,INS_M3,16
TYRE_0037,1,MIX,MIX_M4,25
TYRE_0037,2,CAL,CAL_M4,22
TYRE_0037,3,EXT,EXT_M2,35
TYRE_0037,4,BLD,BLD_M6,20
TYRE_0037,5,CUR,CUR_M2,89
TYRE_0037,6,FIN,FIN_M4,17
TYRE_0037,7,INS,INS_M1,26
TYRE_0038,1,MIX,MIX_M4,11
TYRE_0038,2,CAL,CAL_M2,44
TYRE_0038,3,EXT,EXT_M1,29
TYRE_0038,4,EXT,EXT_M2,40
TYRE_0038,5,BLD,BLD_M4,41
TYRE_0038,6,CUR,CUR_M6,88
TYRE_0038,7,FIN,FIN_M4,29
TYRE_0038,8,INS,INS_M3,26
TYRE_0039,1,MIX,MIX_M4,27
TYRE_0039,2,CAL,CAL_M4,43
TYRE_0039,3,EXT,EXT_M2,38
TYRE_0039,4,BLD,BLD_M4,34
TYRE_0039,5,CUR,CUR_M5,88
TYRE_0039,6,FIN,FIN_M2,30
TYRE_0039,7,INS,INS_M2,26
TYRE_0040,1,MIX,MIX_M4,30
TYRE_0040,2,CAL,CAL_M2,23
TYRE_0040,3,EXT,EXT_M4,17
TYRE_0040,4,BLD,BLD_M6,29
TYRE_0040,5,CUR,CUR_M4,57
TYRE_0040,6,FIN,FIN_M3,20
TYRE_0040,7,INS,INS_M3,12
TYRE_0041,1,MIX,MIX_M2,14
TYRE_0041,2,CAL,CAL_M2,27
TYRE_0041,3,EXT,EXT_M2,37
TYRE_0041,4,BLD,BLD_M2,22
TYRE_0041,5,CUR,CUR_M7,66
TYRE_0041,6,FIN,FIN_M3,27
TYRE_0041,7,INS,INS_M2,23
TYRE_0042,1,MIX,MIX_M1,16
TYRE_0042,2,CAL,CAL_M4,27
TYRE_0042,3,EXT,EXT_M5,45
TYRE_0042,4,BLD,BLD_M6,20
TYRE_0042,5,CUR,CUR_M7,70
TYRE_0042,6,FIN,FIN_M1,21
TYRE_0042,7,INS,INS_M2,22
TYRE_0043,1,MIX,MIX_M4,27
TYRE_0043,2,CAL,CAL_M2,30
TYRE_0043,3,CAL,CAL_M2,23
TYRE_0043,4,EXT,EXT_M4,30
TYRE_0043,5,EXT,EXT_M1,27
TYRE_0043,6,BLD,BLD_M3,41
TYRE_0043,7,CUR,CUR_M7,86
TYRE_0043,8,CUR,CUR_M3,69
TYRE_0043,9,FIN,FIN_M2,29
TYRE_0043,10,INS,INS_M3,10
TYRE_0044,1,MIX,MIX_M4,28
TYRE_0044,2,CAL,CAL_M1,17
TYRE_0044,3,EXT,EXT_M4,19
TYRE_0044,4,BLD,BLD_M4,25
TYRE_0044,5,CUR,CUR_M1,56
TYRE_0044,6,FIN,FIN_M4,20
TYRE_0044,7,INS,INS_M1,24
TYRE_0045,1,MIX,MIX_M3,20
TYRE_0045,2,CAL,CAL_M4,23
TYRE_0045,3,EXT,EXT_M4,23
TYRE_0045,4,EXT,EXT_M1,30
TYRE_0045,5,BLD,BLD_M1,43
TYRE_0045,6,CUR,CUR_M1,62
TYRE_0045,7,FIN,FIN_M2,30
TYRE_0045,8,INS,INS_M1,30
TYRE_0046,1,MIX,MIX_M1,10
TYRE_0046,2,CAL,CAL_M2,21
TYRE_0046,3,EXT,EXT_M1,34
TYRE_0046,4,BLD,BLD_M2,27
TYRE_0046,5,CUR,CUR_M3,70
TYRE_0046,6,FIN,FIN_M1,28
TYRE_0046,7,INS,INS_M1,24
TYRE_0047,1,MIX,MIX_M3,21
TYRE_0047,2,CAL,CAL_M2,34
TYRE_0047,3,EXT,EXT_M5,45
TYRE_0047,4,BLD,BLD_M6,42
TYRE_0047,5,CUR,CUR_M2,89
TYRE_0047,6,FIN,FIN_M2,19
TYRE_0047,7,INS,INS_M1,28
TYRE_0048,1,MIX,MIX_M1,19
TYRE_0048,2,CAL,CAL_M4,27
TYRE_0048,3,EXT,EXT_M2,17
TYRE_0048,4,BLD,BLD_M5,42
TYRE_0048,5,CUR,CUR_M4,46
TYRE_0048,6,FIN,FIN_M3,29
TYRE_0048,7,INS,INS_M1,28
TYRE_0049,1,MIX,MIX_M1,21
TYRE_0049,2,CAL,CAL_M4,36
TYRE_0049,3,EXT,EXT_M3,17
TYRE_0049,4,BLD,BLD_M5,40
TYRE_0049,5,CUR,CUR_M6,40
TYRE_0049,6,FIN,FIN_M4,25
TYRE_0049,7,INS,INS_M1,23
TYRE_0050,1,MIX,MIX_M3,30
TYRE_0050,2,CAL,CAL_M4,37
TYRE_0050,3,CAL,CAL_M2,28
TYRE_0050,4,EXT,EXT_M2,38
TYRE_0050,5,EXT,EXT_M5,45
TYRE_0050,6,BLD,BLD_M6,28
TYRE_0050,7,CUR,CUR_M8,69
TYRE_0050,8,CUR,CUR_M7,86
TYRE_0050,9,FIN,FIN_M3,20
TYRE_0050,10,INS,INS_M1,12
TYRE_0051,1,MIX,MIX_M3,24
TYRE_0051,2,CAL,CAL_M2,39
TYRE_0051,3,EXT,EXT_M4,33
TYRE_0051,4,EXT,EXT_M5,36
TYRE_0051,5,BLD,BLD_M4,30
TYRE_0051,6,CUR,CUR_M1,71
TYRE_0051,7,FIN,FIN_M3,15
TYRE_0051,8,INS,INS_M2,16
TYRE_0052,1,MIX,MIX_M3,18
TYRE_0052,2,CAL,CAL_M3,23
TYRE_0052,3,CAL,CAL_M3,32
TYRE_0052,4,EXT,EXT_M1,31
TYRE_0052,5,EXT,EXT_M2,17
TYRE_0052,6,BLD,BLD_M2,43
TYRE_0052,7,CUR,CUR_M7,71
TYRE_0052,8,CUR,CUR_M4,84
TYRE_0052,9,FIN,FIN_M4,30
TYRE_0052,10,INS,INS_M3,25
TYRE_0053,1,MIX,MIX_M4,10
TYRE_0053,2,CAL,CAL_M1,24
TYRE_0053,3,EXT,EXT_M2,27
TYRE_0053,4,EXT,EXT_M2,24
TYRE_0053,5,BLD,BLD_M6,38
TYRE_0053,6,CUR,CUR_M6,70
TYRE_0053,7,FIN,FIN_M3,23
TYRE_0053,8,INS,INS_M3,27
TYRE_0054,1,MIX,MIX_M3,21
TYRE_0054,2,CAL,CAL_M4,23
TYRE_0054,3,EXT,EXT_M3,23
TYRE_0054,4,BLD,BLD_M2,23
TYRE_0054,5,CUR,CUR_M4,60
TYRE_0054,6,FIN,FIN_M1,27
TYRE_0054,7,INS,INS_M3,15
TYRE_0055,1,MIX,MIX_M2,16
TYRE_0055,2,CAL,CAL_M4,23
TYRE_0055,3,CAL,CAL_M3,18
TYRE_0055,4,EXT,EXT_M2,24
TYRE_0055,5,EXT,EXT_M2,26
TYRE_0055,6,BLD,BLD_M2,29
TYRE_0055,7,CUR,CUR_M1,85
TYRE_0055,8,CUR,CUR_M3,57
TYRE_0055,9,FIN,FIN_M1,11
TYRE_0055,10,INS,INS_M3,19
TYRE_0056,1,MIX,MIX_M2,30
TYRE_0056,2,CAL,CAL_M4,18
TYRE_0056,3,EXT,EXT_M1,33
TYRE_0056,4,BLD,BLD_M3,35
TYRE_0056,5,CUR,CUR_M8,68
TYRE_0056,6,FIN,FIN_M3,15
TYRE_0056,7,INS,INS_M1,18
TYRE_0057,1,MIX,MIX_M4,13
TYRE_0057,2,CAL,CAL_M1,27
TYRE_0057,3,EXT,EXT_M4,17
TYRE_0057,4,BLD,BLD_M5,40
TYRE_0057,5,CUR,CUR_M1,49
TYRE_0057,6,FIN,FIN_M2,28
TYRE_0057,7,INS,INS_M2,12
TYRE_0058,1,MIX,MIX_M2,13
TYRE_0058,2,CAL,CAL_M4,34
TYRE_0058,3,EXT,EXT_M5,40
TYRE_0058,4,BLD,BLD_M5,27
TYRE_0058,5,CUR,CUR_M7,68
TYRE_0058,6,FIN,FIN_M4,19
TYRE_0058,7,INS,INS_M3,23
TYRE_0059,1,MIX,MIX_M3,28
TYRE_0059,2,CAL,CAL_M1,34
TYRE_0059,3,EXT,EXT_M1,45
TYRE_0059,4,BLD,BLD_M2,40
TYRE_0059,5,CUR,CUR_M4,56
TYRE_0059,6,FIN,FIN_M1,15
TYRE_0059,7,INS,INS_M1,15
TYRE_0060,1,MIX,MIX_M1,15
TYRE_0060,2,CAL,CAL_M1,28
TYRE_0060,3,EXT,EXT_M4,37
TYRE_0060,4,BLD,BLD_M5,35
TYRE_0060,5,CUR,CUR_M5,42
TYRE_0060,6,FIN,FIN_M2,19
TYRE_0060,7,INS,INS_M3,19
TYRE_0061,1,MIX,MIX_M4,12
TYRE_0061,2,CAL,CAL_M2,44
TYRE_0061,3,EXT,EXT_M3,40
TYRE_0061,4,BLD,BLD_M6,38
TYRE_0061,5,CUR,CUR_M4,67
TYRE_0061,6,FIN,FIN_M1,27
TYRE_0061,7,INS,INS_M1,30
TYRE_0062,1,MIX,MIX_M2,18
TYRE_0062,2,CAL,CAL_M2,17
TYRE_0062,3,EXT,EXT_M1,20
TYRE_0062,4,EXT,EXT_M3,34
TYRE_0062,5,BLD,BLD_M6,46
TYRE_0062,6,CUR,CUR_M5,68
TYRE_0062,7,FIN,FIN_M1,24
TYRE_0062,8,INS,INS_M3,19
TYRE_0063,1,MIX,MIX_M4,18
TYRE_0063,2,CAL,CAL_M4,29
TYRE_0063,3,EXT,EXT_M1,34
TYRE_0063,4,BLD,BLD_M1,48
TYRE_0063,5,CUR,CUR_M7,87
TYRE_0063,6,FIN,FIN_M3,29
TYRE_0063,7,INS,INS_M2,10
TYRE_0064,1,MIX,MIX_M1,17
TYRE_0064,2,CAL,CAL_M1,39
TYRE_0064,3,EXT,EXT_M3,33
TYRE_0064,4,BLD,BLD_M1,44
TYRE_0064,5,CUR,CUR_M3,70
TYRE_0064,6,FIN,FIN_M4,18
TYRE_0064,7,INS,INS_M1,28
TYRE_0065,1,MIX,MIX_M4,30
TYRE_0065,2,CAL,CAL_M4,17
TYRE_0065,3,EXT,EXT_M4,26
TYRE_0065,4,BLD,BLD_M4,30
TYRE_0065,5,CUR,CUR_M6,82
TYRE_0065,6,FIN,FIN_M1,15
TYRE_0065,7,INS,INS_M2,23
TYRE_0066,1,MIX,MIX_M4,19
TYRE_0066,2,CAL,CAL_M4,41
TYRE_0066,3,EXT,EXT_M5,16
TYRE_0066,4,BLD,BLD_M4,22
TYRE_0066,5,CUR,CUR_M6,56
TYRE_0066,6,FIN,FIN_M3,13
TYRE_0066,7,INS,INS_M2,26
TYRE_0067,1,MIX,MIX_M1,27
TYRE_0067,2,CAL,CAL_M4,28
TYRE_0067,3,EXT,EXT_M1,21
TYRE_0067,4,EXT,EXT_M5,26
TYRE_0067,5,BLD,BLD_M5,44
TYRE_0067,6,CUR,CUR_M8,80
TYRE_0067,7,FIN,FIN_M4,11
TYRE_0067,8,INS,INS_M1,18
TYRE_0068,1,MIX,MIX_M2,19
TYRE_0068,2,CAL,CAL_M4,43
TYRE_0068,3,EXT,EXT_M4,18
TYRE_0068,4,BLD,BLD_M1,40
TYRE_0068,5,CUR,CUR_M4,85
TYRE_0068,6,FIN,FIN_M2,19
TYRE_0068,7,INS,INS_M3,10
TYRE_0069,1,MIX,MIX_M4,12
TYRE_0069,2,CAL,CAL_M2,41
TYRE_0069,3,CAL,CAL_M1,29
TYRE_0069,4,EXT,EXT_M1,35
TYRE_0069,5,EXT,EXT_M2,30
TYRE_0069,6,BLD,BLD_M6,29
TYRE_0069,7,CUR,CUR_M5,66
TYRE_0069,8,CUR,CUR_M8,70
TYRE_0069,9,FIN,FIN_M2,24
TYRE_0069,10,INS,INS_M3,14
TYRE_0070,1,MIX,MIX_M4,16
TYRE_0070,2,CAL,CAL_M2,42
TYRE_0070,3,EXT,EXT_M1,23
TYRE_0070,4,EXT,EXT_M4,25
TYRE_0070,5,BLD,BLD_M5,28
TYRE_0070,6,CUR,CUR_M1,58
TYRE_0070,7,FIN,FIN_M3,28
TYRE_0070,8,INS,INS_M3,25
TYRE_0071,1,MIX,MIX_M2,24
TYRE_0071,2,CAL,CAL_M4,26
TYRE_0071,3,EXT,EXT_M3,32
TYRE_0071,4,BLD,BLD_M5,32
TYRE_0071,5,CUR,CUR_M8,60
TYRE_0071,6,FIN,FIN_M2,17
TYRE_0071,7,INS,INS_M3,22
TYRE_0072,1,MIX,MIX_M2,23
TYRE_0072,2,CAL,CAL_M1,25
TYRE_0072,3,EXT,EXT_M4,37
TYRE_0072,4,BLD,BLD_M4,32
TYRE_0072,5,CUR,CUR_M3,71
TYRE_0072,6,FIN,FIN_M1,14
TYRE_0072,7,INS,INS_M3,28
TYRE_0073,1,MIX,MIX_M3,13
TYRE_0073,2,CAL,CAL_M4,18
TYRE_0073,3,EXT,EXT_M5,44
TYRE_0073,4,EXT,EXT_M4,15
TYRE_0073,5,BLD,BLD_M6,24
TYRE_0073,6,CUR,CUR_M7,81
TYRE_0073,7,FIN,FIN_M2,12
TYRE_0073,8,INS,INS_M2,18
TYRE_0074,1,MIX,MIX_M3,29
TYRE_0074,2,CAL,CAL_M4,35
TYRE_0074,3,EXT,EXT_M1,42
TYRE_0074,4,EXT,EXT_M3,42
TYRE_0074,5,BLD,BLD_M6,47
TYRE_0074,6,CUR,CUR_M7,60
TYRE_0074,7,FIN,FIN_M4,27
TYRE_0074,8,INS,INS_M1,29
TYRE_0075,1,MIX,MIX_M1,17
TYRE_0075,2,CAL,CAL_M3,22
TYRE_0075,3,EXT,EXT_M1,28
TYRE_0075,4,EXT,EXT_M1,39
TYRE_0075,5,BLD,BLD_M6,42
TYRE_0075,6,CUR,CUR_M2,68
TYRE_0075,7,FIN,FIN_M2,19
TYRE_0075,8,INS,INS_M1,11
TYRE_0076,1,MIX,MIX_M3,11
TYRE_0076,2,CAL,CAL_M3,26
TYRE_0076,3,EXT,EXT_M3,28
TYRE_0076,4,EXT,EXT_M2,22
TYRE_0076,5,BLD,BLD_M5,33
TYRE_0076,6,CUR,CUR_M3,50
TYRE_0076,7,FIN,FIN_M2,12
TYRE_0076,8,INS,INS_M3,22
TYRE_0077,1,MIX,MIX_M2,25
TYRE_0077,2,CAL,CAL_M2,22
TYRE_0077,3,EXT,EXT_M4,35
TYRE_0077,4,BLD,BLD_M3,34
TYRE_0077,5,CUR,CUR_M5,82
TYRE_0077,6,FIN,FIN_M1,24
TYRE_0077,7,INS,INS_M2,27
TYRE_0078,1,MIX,MIX_M2,12
TYRE_0078,2,CAL,CAL_M4,45
TYRE_0078,3,EXT,EXT_M3,33
TYRE_0078,4,BLD,BLD_M3,40
TYRE_0078,5,CUR,CUR_M7,84
TYRE_0078,6,FIN,FIN_M3,24
TYRE_0078,7,INS,INS_M2,16
TYRE_0079,1,MIX,MIX_M4,25
TYRE_0079,2,CAL,CAL_M1,22
TYRE_0079,3,EXT,EXT_M4,33
TYRE_0079,4,BLD,BLD_M3,38
TYRE_0079,5,CUR,CUR_M5,84
TYRE_0079,6,FIN,FIN_M3,10
TYRE_0079,7,INS,INS_M3,22
TYRE_0080,1,MIX,MIX_M3,10
TYRE_0080,2,CAL,CAL_M1,44
TYRE_0080,3,EXT,EXT_M5,38
TYRE_0080,4,EXT,EXT_M4,41
TYRE_0080,5,BLD,BLD_M3,44
TYRE_0080,6,CUR,CUR_M4,78
